"siteName","date","pm25"
"Long Beach-Route 710 Near Road",2022-01-01,27.4
"Long Beach-Route 710 Near Road",2022-01-02,8.1
"Long Beach-Route 710 Near Road",2022-01-03,13.2
"Long Beach-Route 710 Near Road",2022-01-04,18
"Long Beach-Route 710 Near Road",2022-01-05,28.1
"Long Beach-Route 710 Near Road",2022-01-06,24.7
"Long Beach-Route 710 Near Road",2022-01-08,21.7
"Long Beach-Route 710 Near Road",2022-01-09,21.2
"Long Beach-Route 710 Near Road",2022-01-10,9.2
"Long Beach-Route 710 Near Road",2022-01-11,11.7
"Long Beach-Route 710 Near Road",2022-01-12,13.2
"Long Beach-Route 710 Near Road",2022-01-13,23
"Long Beach-Route 710 Near Road",2022-01-14,25.5
"Long Beach-Route 710 Near Road",2022-01-15,18.5
"Long Beach-Route 710 Near Road",2022-01-16,10.2
"Long Beach-Route 710 Near Road",2022-01-17,8.8
"Long Beach-Route 710 Near Road",2022-01-18,9.2
"Long Beach-Route 710 Near Road",2022-01-19,23
"Long Beach-Route 710 Near Road",2022-01-20,14.7
"Long Beach-Route 710 Near Road",2022-01-21,12.6
"Long Beach-Route 710 Near Road",2022-01-22,8.1
"Long Beach-Route 710 Near Road",2022-01-23,15
"Long Beach-Route 710 Near Road",2022-01-24,14.3
"Long Beach-Route 710 Near Road",2022-01-25,15.8
"Long Beach-Route 710 Near Road",2022-01-26,15.4
"Long Beach-Route 710 Near Road",2022-01-27,14.1
"Long Beach-Route 710 Near Road",2022-01-28,10.1
"Long Beach-Route 710 Near Road",2022-01-29,10.2
"Long Beach-Route 710 Near Road",2022-01-30,22.7
"Long Beach-Route 710 Near Road",2022-01-31,22.1
"Long Beach-Route 710 Near Road",2022-02-01,18.6
"Long Beach-Route 710 Near Road",2022-02-02,14.7
"Long Beach-Route 710 Near Road",2022-02-03,13.9
"Long Beach-Route 710 Near Road",2022-02-04,15.7
"Long Beach-Route 710 Near Road",2022-02-05,10.5
"Long Beach-Route 710 Near Road",2022-02-06,19.6
"Long Beach-Route 710 Near Road",2022-02-07,13.9
"Long Beach-Route 710 Near Road",2022-02-08,11.9
"Long Beach-Route 710 Near Road",2022-02-09,16
"Long Beach-Route 710 Near Road",2022-02-10,14.8
"Long Beach-Route 710 Near Road",2022-02-11,14.6
"Long Beach-Route 710 Near Road",2022-02-12,15.7
"Long Beach-Route 710 Near Road",2022-02-13,12.1
"Long Beach-Route 710 Near Road",2022-02-14,17.7
"Long Beach-Route 710 Near Road",2022-02-15,8
"Long Beach-Route 710 Near Road",2022-02-16,8.1
"Long Beach-Route 710 Near Road",2022-02-17,9.7
"Long Beach-Route 710 Near Road",2022-02-18,11.9
"Long Beach-Route 710 Near Road",2022-02-19,14.3
"Long Beach-Route 710 Near Road",2022-02-20,19.8
"Long Beach-Route 710 Near Road",2022-02-21,11
"Long Beach-Route 710 Near Road",2022-02-22,5.3
"Long Beach-Route 710 Near Road",2022-02-23,4
"Long Beach-Route 710 Near Road",2022-02-24,8.1
"Long Beach-Route 710 Near Road",2022-02-25,11.3
"Long Beach-Route 710 Near Road",2022-02-26,13.1
"Long Beach-Route 710 Near Road",2022-02-27,9.9
"Long Beach-Route 710 Near Road",2022-02-28,14.4
"Long Beach-Route 710 Near Road",2022-03-01,14.3
"Long Beach-Route 710 Near Road",2022-03-02,12.8
"Long Beach-Route 710 Near Road",2022-03-03,13.4
"Long Beach-Route 710 Near Road",2022-03-04,5.2
"Long Beach-Route 710 Near Road",2022-03-05,6.7
"Long Beach-Route 710 Near Road",2022-03-06,7.7
"Long Beach-Route 710 Near Road",2022-03-07,10.5
"Long Beach-Route 710 Near Road",2022-03-08,11
"Long Beach-Route 710 Near Road",2022-03-09,9.2
"Long Beach-Route 710 Near Road",2022-03-10,12.1
"Long Beach-Route 710 Near Road",2022-03-11,12.4
"Long Beach-Route 710 Near Road",2022-03-12,9.9
"Long Beach-Route 710 Near Road",2022-03-13,10.9
"Long Beach-Route 710 Near Road",2022-03-14,11
"Long Beach-Route 710 Near Road",2022-03-15,11.8
"Long Beach-Route 710 Near Road",2022-03-16,10.4
"Long Beach-Route 710 Near Road",2022-03-17,13.1
"Long Beach-Route 710 Near Road",2022-03-18,15.4
"Long Beach-Route 710 Near Road",2022-03-19,10.7
"Long Beach-Route 710 Near Road",2022-03-20,5.8
"Long Beach-Route 710 Near Road",2022-03-21,12.1
"Long Beach-Route 710 Near Road",2022-03-22,13.3
"Long Beach-Route 710 Near Road",2022-03-23,10.8
"Long Beach-Route 710 Near Road",2022-03-24,11.9
"Long Beach-Route 710 Near Road",2022-03-25,13.9
"Long Beach-Route 710 Near Road",2022-03-26,16.9
"Long Beach-Route 710 Near Road",2022-03-27,6.7
"Long Beach-Route 710 Near Road",2022-03-28,5.2
"Long Beach-Route 710 Near Road",2022-03-29,6.7
"Long Beach-Route 710 Near Road",2022-03-30,9.2
"Long Beach-Route 710 Near Road",2022-03-31,8.8
"Long Beach-Route 710 Near Road",2022-04-01,13.4
"Long Beach-Route 710 Near Road",2022-04-02,12.8
"Long Beach-Route 710 Near Road",2022-04-03,8.6
"Long Beach-Route 710 Near Road",2022-04-04,12.3
"Long Beach-Route 710 Near Road",2022-04-05,11.2
"Long Beach-Route 710 Near Road",2022-04-06,14.2
"Long Beach-Route 710 Near Road",2022-04-07,13.4
"Long Beach-Route 710 Near Road",2022-04-08,13.2
"Long Beach-Route 710 Near Road",2022-04-09,18.9
"Long Beach-Route 710 Near Road",2022-04-10,17.5
"Long Beach-Route 710 Near Road",2022-04-11,13.1
"Long Beach-Route 710 Near Road",2022-04-12,7
"Long Beach-Route 710 Near Road",2022-04-13,8.5
"Long Beach-Route 710 Near Road",2022-04-14,10.2
"Long Beach-Route 710 Near Road",2022-04-15,9.3
"Long Beach-Route 710 Near Road",2022-04-16,6
"Long Beach-Route 710 Near Road",2022-04-17,6.6
"Long Beach-Route 710 Near Road",2022-04-18,10.1
"Long Beach-Route 710 Near Road",2022-04-19,8
"Long Beach-Route 710 Near Road",2022-04-20,6
"Long Beach-Route 710 Near Road",2022-04-21,6.2
"Long Beach-Route 710 Near Road",2022-04-22,7
"Long Beach-Route 710 Near Road",2022-04-23,10
"Long Beach-Route 710 Near Road",2022-04-24,9.1
"Long Beach-Route 710 Near Road",2022-04-25,11.3
"Long Beach-Route 710 Near Road",2022-04-26,14.3
"Long Beach-Route 710 Near Road",2022-04-27,16.1
"Long Beach-Route 710 Near Road",2022-04-28,13.9
"Long Beach-Route 710 Near Road",2022-04-29,14.3
"Long Beach-Route 710 Near Road",2022-04-30,14
"Long Beach-Route 710 Near Road",2022-05-01,13.4
"Long Beach-Route 710 Near Road",2022-05-02,12.3
"Long Beach-Route 710 Near Road",2022-05-03,11.8
"Long Beach-Route 710 Near Road",2022-05-04,14.9
"Long Beach-Route 710 Near Road",2022-05-05,14.9
"Long Beach-Route 710 Near Road",2022-05-06,13
"Long Beach-Route 710 Near Road",2022-05-07,9.7
"Long Beach-Route 710 Near Road",2022-05-08,10.2
"Long Beach-Route 710 Near Road",2022-05-09,10.5
"Long Beach-Route 710 Near Road",2022-05-10,8.3
"Long Beach-Route 710 Near Road",2022-05-11,8.1
"Long Beach-Route 710 Near Road",2022-05-12,9.8
"Long Beach-Route 710 Near Road",2022-05-13,11.5
"Long Beach-Route 710 Near Road",2022-05-14,10.4
"Long Beach-Route 710 Near Road",2022-05-15,10.8
"Long Beach-Route 710 Near Road",2022-05-16,12.2
"Long Beach-Route 710 Near Road",2022-05-17,10.4
"Long Beach-Route 710 Near Road",2022-05-18,12.2
"Long Beach-Route 710 Near Road",2022-05-19,9.3
"Long Beach-Route 710 Near Road",2022-05-20,4.7
"Long Beach-Route 710 Near Road",2022-05-21,6.8
"Long Beach-Route 710 Near Road",2022-05-22,12.4
"Long Beach-Route 710 Near Road",2022-05-23,12.2
"Long Beach-Route 710 Near Road",2022-05-24,13.5
"Long Beach-Route 710 Near Road",2022-05-25,17.4
"Long Beach-Route 710 Near Road",2022-05-26,10.4
"Long Beach-Route 710 Near Road",2022-05-27,7.9
"Long Beach-Route 710 Near Road",2022-05-28,6.4
"Long Beach-Route 710 Near Road",2022-05-29,7.2
"Long Beach-Route 710 Near Road",2022-05-30,12
"Long Beach-Route 710 Near Road",2022-05-31,15.6
"Long Beach-Route 710 Near Road",2022-06-01,16.1
"Long Beach-Route 710 Near Road",2022-06-02,15.7
"Long Beach-Route 710 Near Road",2022-06-03,12.7
"Long Beach-Route 710 Near Road",2022-06-04,6.6
"Long Beach-Route 710 Near Road",2022-06-05,6
"Long Beach-Route 710 Near Road",2022-06-06,6
"Long Beach-Route 710 Near Road",2022-06-07,8
"Long Beach-Route 710 Near Road",2022-06-08,9.8
"Long Beach-Route 710 Near Road",2022-06-09,10.5
"Long Beach-Route 710 Near Road",2022-06-10,11.8
"Long Beach-Route 710 Near Road",2022-06-11,10.2
"Long Beach-Route 710 Near Road",2022-06-12,7.1
"Long Beach-Route 710 Near Road",2022-06-13,5.1
"Long Beach-Route 710 Near Road",2022-06-14,11.4
"Long Beach-Route 710 Near Road",2022-06-15,15
"Long Beach-Route 710 Near Road",2022-06-17,10.1
"Long Beach-Route 710 Near Road",2022-06-18,7.5
"Long Beach-Route 710 Near Road",2022-06-19,9
"Long Beach-Route 710 Near Road",2022-06-20,13.9
"Long Beach-Route 710 Near Road",2022-06-21,14.1
